id	target	mutation	expected
valid-bundle	bundle	none	accept
missing-final-manifest	bundle	remove-manifest	reject
missing-required-artifact	bundle	remove-adapter	reject
cyclic-manifest-reference	manifest	replace-contract-with-manifest	reject
substituted-representation	bundle	substitute-body	reject
malformed-result	result	invalid-cbor	reject
symlink-representation	bundle	symlink-body	reject
valid-result	result	none	accept
trailing-result	result	append-zero	reject
valid-manifest	manifest	none	accept
trailing-manifest	manifest	append-zero	reject
valid-semantic-closure	closure	none	accept
trailing-semantic-closure	closure	append-zero	reject
