name	kind	expect	reason	hex
batch-manifest	batch	accept	canonical valid 0.1 document	8e781c74772e7061636b65742d62617463682d6d616e69666573742f302e3175776f726c642d62616e6b2d696e64696361746f7273582001010101010101010101010101010101010101010101010101010101010101015820020202020202020202020202020202020202020202020202020202020202020274323032362d30382d31315430303a30303a30305a74323032362d30382d31315430303a30303a30315af68158200303030303030303030303030303030303030303030303030303030303030303818258200404040404040404040404040404040404040404040404040404040404040404190190805820050505050505050505050505050505050505050505050505050505050505050558200606060606060606060606060606060606060606060606060606060606060606828366612e6a736f6e58200707070707070707070707070707070707070707070707070707070707070707018366622e6a736f6e582008080808080808080808080808080808080808080808080808080808080808080180
batch-manifest-trailing	batch	reject	trailing byte	8e781c74772e7061636b65742d62617463682d6d616e69666573742f302e3175776f726c642d62616e6b2d696e64696361746f7273582001010101010101010101010101010101010101010101010101010101010101015820020202020202020202020202020202020202020202020202020202020202020274323032362d30382d31315430303a30303a30305a74323032362d30382d31315430303a30303a30315af68158200303030303030303030303030303030303030303030303030303030303030303818258200404040404040404040404040404040404040404040404040404040404040404190190805820050505050505050505050505050505050505050505050505050505050505050558200606060606060606060606060606060606060606060606060606060606060606828366612e6a736f6e58200707070707070707070707070707070707070707070707070707070707070707018366622e6a736f6e58200808080808080808080808080808080808080808080808080808080808080808018000
batch-manifest-truncated	batch	reject	truncated document	8e781c74772e7061636b65742d62617463682d6d616e69666573742f302e3175776f726c642d62616e6b2d696e64696361746f7273582001010101010101010101010101010101010101010101010101010101010101015820020202020202020202020202020202020202020202020202020202020202020274323032362d30382d31315430303a30303a30305a74323032362d30382d31315430303a30303a30315af68158200303030303030303030303030303030303030303030303030303030303030303818258200404040404040404040404040404040404040404040404040404040404040404190190805820050505050505050505050505050505050505050505050505050505050505050558200606060606060606060606060606060606060606060606060606060606060606828366612e6a736f6e58200707070707070707070707070707070707070707070707070707070707070707018366622e6a736f6e5820080808080808080808080808080808080808080808080808080808080808080801
batch-manifest-wrong-version	batch	reject	unsupported version	8e781c78772e7061636b65742d62617463682d6d616e69666573742f302e3175776f726c642d62616e6b2d696e64696361746f7273582001010101010101010101010101010101010101010101010101010101010101015820020202020202020202020202020202020202020202020202020202020202020274323032362d30382d31315430303a30303a30305a74323032362d30382d31315430303a30303a30315af68158200303030303030303030303030303030303030303030303030303030303030303818258200404040404040404040404040404040404040404040404040404040404040404190190805820050505050505050505050505050505050505050505050505050505050505050558200606060606060606060606060606060606060606060606060606060606060606828366612e6a736f6e58200707070707070707070707070707070707070707070707070707070707070707018366622e6a736f6e582008080808080808080808080808080808080808080808080808080808080808080180
batch-unsorted-artifacts	batch	reject	artifact order is not strict	8e781c74772e7061636b65742d62617463682d6d616e69666573742f302e3175776f726c642d62616e6b2d696e64696361746f7273582001010101010101010101010101010101010101010101010101010101010101015820020202020202020202020202020202020202020202020202020202020202020274323032362d30382d31315430303a30303a30305a74323032362d30382d31315430303a30303a30315af681582003030303030303030303030303030303030303030303030303030303030303038182582004040404040404040404040404040404040404040404040404040404040404041901908058200505050505050505050505050505050505050505050505050505050505050505582006060606060606060606060606060606060606060606060606060606060606068283667a2e6a736f6e58200707070707070707070707070707070707070707070707070707070707070707018366622e6a736f6e582008080808080808080808080808080808080808080808080808080808080808080180
delta-canon-closure	delta	accept	canon reinterpretation preserves source evidence	8e7574772e73656d616e7469632d64656c74612f302e316563616e6f6e6f636c6f737572655f6368616e67656458200101010101010101010101010101010101010101010101010101010101010101582008080808080808080808080808080808080808080808080808080808080808085820090909090909090909090909090909090909090909090909090909090909090958200a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a58200a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a75776f726c642d62616e6b2d696e64696361746f727374323032362d30382d31315430303a30303a30325a58200b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b6c74773a63616e6f6e40302e31706d617070696e675f61646d697474656480
delta-origin-added	delta	accept	canonical valid 0.1 document	8e7574772e73656d616e7469632d64656c74612f302e31666f726967696e65616464656458200101010101010101010101010101010101010101010101010101010101010101f658200202020202020202020202020202020202020202020202020202020202020202f65820030303030303030303030303030303030303030303030303030303030303030375776f726c642d62616e6b2d696e64696361746f727374323032362d30382d31315430303a30303a30315a582004040404040404040404040404040404040404040404040404040404040404046c74773a63616e6f6e40302e317166697273745f6f62736572766174696f6e80
delta-origin-added-trailing	delta	reject	trailing byte	8e7574772e73656d616e7469632d64656c74612f302e31666f726967696e65616464656458200101010101010101010101010101010101010101010101010101010101010101f658200202020202020202020202020202020202020202020202020202020202020202f65820030303030303030303030303030303030303030303030303030303030303030375776f726c642d62616e6b2d696e64696361746f727374323032362d30382d31315430303a30303a30315a582004040404040404040404040404040404040404040404040404040404040404046c74773a63616e6f6e40302e317166697273745f6f62736572766174696f6e8000
delta-origin-added-truncated	delta	reject	truncated document	8e7574772e73656d616e7469632d64656c74612f302e31666f726967696e65616464656458200101010101010101010101010101010101010101010101010101010101010101f658200202020202020202020202020202020202020202020202020202020202020202f65820030303030303030303030303030303030303030303030303030303030303030375776f726c642d62616e6b2d696e64696361746f727374323032362d30382d31315430303a30303a30315a582004040404040404040404040404040404040404040404040404040404040404046c74773a63616e6f6e40302e317166697273745f6f62736572766174696f6e
delta-origin-added-wrong-version	delta	reject	unsupported version	8e7578772e73656d616e7469632d64656c74612f302e31666f726967696e65616464656458200101010101010101010101010101010101010101010101010101010101010101f658200202020202020202020202020202020202020202020202020202020202020202f65820030303030303030303030303030303030303030303030303030303030303030375776f726c642d62616e6b2d696e64696361746f727374323032362d30382d31315430303a30303a30315a582004040404040404040404040404040404040404040404040404040404040404046c74773a63616e6f6e40302e317166697273745f6f62736572766174696f6e80
