name	kind	expect	reason	hex
frame-attested	frame	accept	canonical valid E4.0 document	8c7574772e73656d616e7469632d6672616d652f302e316e74773a776f726c642d7374617465781a776f726c643a496e64696361746f724f62736572766174696f6e76776f726c642d62616e6b3a434c2f504f502f3230323481781d776f726c643a6f62736572766174696f6e2f434c2f504f502f32303234858258200101010101010101010101010101010101010101010101010101010101010101582002020202020202020202020202020202020202020202020202020202020202025820030303030303030303030303030303030303030303030303030303030303030382736d617070696e673a776f726c642f6140302e31736d617070696e673a776f726c642f6240302e31582004040404040404040404040404040404040404040404040404040404040404047274776972782d6f6e746f6c6f677940302e3182876f776f726c643a696e64696361746f72687265736f6c766564636f6e6581846a6964656e74696669657263504f50f6f6815820010101010101010101010101010101010101010101010101010101010101010181736d617070696e673a776f726c642f6140302e31646e6f6e65876b776f726c643a76616c7565687265736f6c766564636f6e65818467696e74656765726831393632393539306b756e69743a706572736f6ef6815820020202020202020202020202020202020202020202020202020202020202020281736d617070696e673a776f726c642f6240302e31646e6f6e6584806667656f3a434c62656ef68374323032362d30382d31325430303a30303a30305af6f6837161747465737465645f73656d616e7469631a000f4240646e6f6e65826763757272656e74f680
frame-attested-trailing	frame	reject	trailing byte	8c7574772e73656d616e7469632d6672616d652f302e316e74773a776f726c642d7374617465781a776f726c643a496e64696361746f724f62736572766174696f6e76776f726c642d62616e6b3a434c2f504f502f3230323481781d776f726c643a6f62736572766174696f6e2f434c2f504f502f32303234858258200101010101010101010101010101010101010101010101010101010101010101582002020202020202020202020202020202020202020202020202020202020202025820030303030303030303030303030303030303030303030303030303030303030382736d617070696e673a776f726c642f6140302e31736d617070696e673a776f726c642f6240302e31582004040404040404040404040404040404040404040404040404040404040404047274776972782d6f6e746f6c6f677940302e3182876f776f726c643a696e64696361746f72687265736f6c766564636f6e6581846a6964656e74696669657263504f50f6f6815820010101010101010101010101010101010101010101010101010101010101010181736d617070696e673a776f726c642f6140302e31646e6f6e65876b776f726c643a76616c7565687265736f6c766564636f6e65818467696e74656765726831393632393539306b756e69743a706572736f6ef6815820020202020202020202020202020202020202020202020202020202020202020281736d617070696e673a776f726c642f6240302e31646e6f6e6584806667656f3a434c62656ef68374323032362d30382d31325430303a30303a30305af6f6837161747465737465645f73656d616e7469631a000f4240646e6f6e65826763757272656e74f68000
frame-attested-truncated	frame	reject	truncated document	8c7574772e73656d616e7469632d6672616d652f302e316e74773a776f726c642d7374617465781a776f726c643a496e64696361746f724f62736572766174696f6e76776f726c642d62616e6b3a434c2f504f502f3230323481781d776f726c643a6f62736572766174696f6e2f434c2f504f502f32303234858258200101010101010101010101010101010101010101010101010101010101010101582002020202020202020202020202020202020202020202020202020202020202025820030303030303030303030303030303030303030303030303030303030303030382736d617070696e673a776f726c642f6140302e31736d617070696e673a776f726c642f6240302e31582004040404040404040404040404040404040404040404040404040404040404047274776972782d6f6e746f6c6f677940302e3182876f776f726c643a696e64696361746f72687265736f6c766564636f6e6581846a6964656e74696669657263504f50f6f6815820010101010101010101010101010101010101010101010101010101010101010181736d617070696e673a776f726c642f6140302e31646e6f6e65876b776f726c643a76616c7565687265736f6c766564636f6e65818467696e74656765726831393632393539306b756e69743a706572736f6ef6815820020202020202020202020202020202020202020202020202020202020202020281736d617070696e673a776f726c642f6240302e31646e6f6e6584806667656f3a434c62656ef68374323032362d30382d31325430303a30303a30305af6f6837161747465737465645f73656d616e7469631a000f4240646e6f6e65826763757272656e74f6
frame-attested-wrong-version	frame	reject	unsupported version	8c7574782e73656d616e7469632d6672616d652f302e316e74773a776f726c642d7374617465781a776f726c643a496e64696361746f724f62736572766174696f6e76776f726c642d62616e6b3a434c2f504f502f3230323481781d776f726c643a6f62736572766174696f6e2f434c2f504f502f32303234858258200101010101010101010101010101010101010101010101010101010101010101582002020202020202020202020202020202020202020202020202020202020202025820030303030303030303030303030303030303030303030303030303030303030382736d617070696e673a776f726c642f6140302e31736d617070696e673a776f726c642f6240302e31582004040404040404040404040404040404040404040404040404040404040404047274776972782d6f6e746f6c6f677940302e3182876f776f726c643a696e64696361746f72687265736f6c766564636f6e6581846a6964656e74696669657263504f50f6f6815820010101010101010101010101010101010101010101010101010101010101010181736d617070696e673a776f726c642f6140302e31646e6f6e65876b776f726c643a76616c7565687265736f6c766564636f6e65818467696e74656765726831393632393539306b756e69743a706572736f6ef6815820020202020202020202020202020202020202020202020202020202020202020281736d617070696e673a776f726c642f6240302e31646e6f6e6584806667656f3a434c62656ef68374323032362d30382d31325430303a30303a30305af6f6837161747465737465645f73656d616e7469631a000f4240646e6f6e65826763757272656e74f680
frame-invalid-conflict	frame	reject	unknown frame conflict status	8c7574772e73656d616e7469632d6672616d652f302e316e74773a776f726c642d7374617465781a776f726c643a496e64696361746f724f62736572766174696f6e76776f726c642d62616e6b3a434c2f504f502f3230323481781d776f726c643a6f62736572766174696f6e2f434c2f504f502f32303234858258200101010101010101010101010101010101010101010101010101010101010101582002020202020202020202020202020202020202020202020202020202020202025820030303030303030303030303030303030303030303030303030303030303030382736d617070696e673a776f726c642f6140302e31736d617070696e673a776f726c642f6240302e31582004040404040404040404040404040404040404040404040404040404040404047274776972782d6f6e746f6c6f677940302e3182876f776f726c643a696e64696361746f72687265736f6c766564636f6e6581846a6964656e74696669657263504f50f6f6815820010101010101010101010101010101010101010101010101010101010101010181736d617070696e673a776f726c642f6140302e316478787878876b776f726c643a76616c7565687265736f6c766564636f6e65818467696e74656765726831393632393539306b756e69743a706572736f6ef6815820020202020202020202020202020202020202020202020202020202020202020281736d617070696e673a776f726c642f6240302e31646e6f6e6584806667656f3a434c62656ef68374323032362d30382d31325430303a30303a30305af6f6837161747465737465645f73656d616e7469631a000f4240646e6f6e65826763757272656e74f680
frame-observed	frame	accept	canonical valid E4.0 document	8c7574772e73656d616e7469632d6672616d652f302e316e74773a776f726c642d7374617465781a776f726c643a496e64696361746f724f62736572766174696f6e76776f726c642d62616e6b3a434c2f504f502f3230323481781d776f726c643a6f62736572766174696f6e2f434c2f504f502f32303234858258200101010101010101010101010101010101010101010101010101010101010101582002020202020202020202020202020202020202020202020202020202020202025820030303030303030303030303030303030303030303030303030303030303030380582004040404040404040404040404040404040404040404040404040404040404047274776972782d6f6e746f6c6f677940302e3182876f776f726c643a696e64696361746f72687265736f6c766564636f6e6581846a6964656e74696669657263504f50f6f6815820010101010101010101010101010101010101010101010101010101010101010180646e6f6e65876b776f726c643a76616c7565687265736f6c766564636f6e65818467696e74656765726831393632393539306b756e69743a706572736f6ef6815820020202020202020202020202020202020202020202020202020202020202020280646e6f6e6584806667656f3a434c62656ef68374323032362d30382d31325430303a30303a30305af6f6836f6f627365727665645f6e61746976651a000f4240646e6f6e65826763757272656e74f680
frame-observed-trailing	frame	reject	trailing byte	8c7574772e73656d616e7469632d6672616d652f302e316e74773a776f726c642d7374617465781a776f726c643a496e64696361746f724f62736572766174696f6e76776f726c642d62616e6b3a434c2f504f502f3230323481781d776f726c643a6f62736572766174696f6e2f434c2f504f502f32303234858258200101010101010101010101010101010101010101010101010101010101010101582002020202020202020202020202020202020202020202020202020202020202025820030303030303030303030303030303030303030303030303030303030303030380582004040404040404040404040404040404040404040404040404040404040404047274776972782d6f6e746f6c6f677940302e3182876f776f726c643a696e64696361746f72687265736f6c766564636f6e6581846a6964656e74696669657263504f50f6f6815820010101010101010101010101010101010101010101010101010101010101010180646e6f6e65876b776f726c643a76616c7565687265736f6c766564636f6e65818467696e74656765726831393632393539306b756e69743a706572736f6ef6815820020202020202020202020202020202020202020202020202020202020202020280646e6f6e6584806667656f3a434c62656ef68374323032362d30382d31325430303a30303a30305af6f6836f6f627365727665645f6e61746976651a000f4240646e6f6e65826763757272656e74f68000
frame-observed-truncated	frame	reject	truncated document	8c7574772e73656d616e7469632d6672616d652f302e316e74773a776f726c642d7374617465781a776f726c643a496e64696361746f724f62736572766174696f6e76776f726c642d62616e6b3a434c2f504f502f3230323481781d776f726c643a6f62736572766174696f6e2f434c2f504f502f32303234858258200101010101010101010101010101010101010101010101010101010101010101582002020202020202020202020202020202020202020202020202020202020202025820030303030303030303030303030303030303030303030303030303030303030380582004040404040404040404040404040404040404040404040404040404040404047274776972782d6f6e746f6c6f677940302e3182876f776f726c643a696e64696361746f72687265736f6c766564636f6e6581846a6964656e74696669657263504f50f6f6815820010101010101010101010101010101010101010101010101010101010101010180646e6f6e65876b776f726c643a76616c7565687265736f6c766564636f6e65818467696e74656765726831393632393539306b756e69743a706572736f6ef6815820020202020202020202020202020202020202020202020202020202020202020280646e6f6e6584806667656f3a434c62656ef68374323032362d30382d31325430303a30303a30305af6f6836f6f627365727665645f6e61746976651a000f4240646e6f6e65826763757272656e74f6
frame-observed-wrong-version	frame	reject	unsupported version	8c7574782e73656d616e7469632d6672616d652f302e316e74773a776f726c642d7374617465781a776f726c643a496e64696361746f724f62736572766174696f6e76776f726c642d62616e6b3a434c2f504f502f3230323481781d776f726c643a6f62736572766174696f6e2f434c2f504f502f32303234858258200101010101010101010101010101010101010101010101010101010101010101582002020202020202020202020202020202020202020202020202020202020202025820030303030303030303030303030303030303030303030303030303030303030380582004040404040404040404040404040404040404040404040404040404040404047274776972782d6f6e746f6c6f677940302e3182876f776f726c643a696e64696361746f72687265736f6c766564636f6e6581846a6964656e74696669657263504f50f6f6815820010101010101010101010101010101010101010101010101010101010101010180646e6f6e65876b776f726c643a76616c7565687265736f6c766564636f6e65818467696e74656765726831393632393539306b756e69743a706572736f6ef6815820020202020202020202020202020202020202020202020202020202020202020280646e6f6e6584806667656f3a434c62656ef68374323032362d30382d31325430303a30303a30305af6f6836f6f627365727665645f6e61746976651a000f4240646e6f6e65826763757272656e74f680
frame-slot-packet-outside-derivation	frame	reject	slot packet is outside derivation	8c7574772e73656d616e7469632d6672616d652f302e316e74773a776f726c642d7374617465781a776f726c643a496e64696361746f724f62736572766174696f6e76776f726c642d62616e6b3a434c2f504f502f3230323481781d776f726c643a6f62736572766174696f6e2f434c2f504f502f32303234858258200101010101010101010101010101010101010101010101010101010101010101582002020202020202020202020202020202020202020202020202020202020202025820030303030303030303030303030303030303030303030303030303030303030382736d617070696e673a776f726c642f6140302e31736d617070696e673a776f726c642f6240302e31582004040404040404040404040404040404040404040404040404040404040404047274776972782d6f6e746f6c6f677940302e3182876f776f726c643a696e64696361746f72687265736f6c766564636f6e6581846a6964656e74696669657263504f50f6f6815820010101010101010101010101010101010101010101010101010101010101010181736d617070696e673a776f726c642f6140302e31646e6f6e65876b776f726c643a76616c7565687265736f6c766564636f6e65818467696e74656765726831393632393539306b756e69743a706572736f6ef6815820090909090909090909090909090909090909090909090909090909090909090981736d617070696e673a776f726c642f6240302e31646e6f6e6584806667656f3a434c62656ef68374323032362d30382d31325430303a30303a30305af6f6837161747465737465645f73656d616e7469631a000f4240646e6f6e65826763757272656e74f680
